Hospital,Year,Quarter,State,Total_Revenue,Other_Operating_Revenue,Medicare_Revenue,Medicaid_Revenue,Self_Pay_Revenue,Commercial_Revenue,Other_Revenue
Swedish Health Services DBA Swedish Medical Cent,2018,1,Washington,1083599918,18650858,413735210,181923864,0,0,487940844
Swedish Health Services DBA Swedish Medical Cente,2018,1,Washington,438554805,2159306,223584129,63668914,0,0,151301762
Klickitat County Public Hospital District #1,2018,1,Washington,10502093,0,4919659,3047843,0,0,2534591
Virginia Mason Medical Center,2018,1,Washington,577086853,14850139,274346627,45444961,0,0,257295265
Seattle Children's Hospital,2018,1,Washington,701387865,56150775,9877710,365248353,0,0,326261802
Newport Hospital & Health Services,2018,1,Washington,12390822,59002,5557378,3529991,0,0,3303453
Lourdes Medical Center,2018,1,Washington,75157413,1096132,33677367,15197631,0,0,26282415
Three Rivers Hospital,2018,1,Washington,5686595,35753,2195003,299154,0,0,3192438
PeaceHealth St John Medical Center,2018,1,Washington,196941874,1641759,97551187,54373574,0,0,45017113
Harborview Medical Center,2018,1,Washington,591721956,20325287,191222468,190790176,0,0,209709312
St.Joseph Medical Center,2018,1,Washington,722130984,6880123,342576574,155826983,0,0,223727427
St. Elizabeth Hospital,2018,1,Washington,53289341,573979,19454963,12247608,0,0,21586770
Deaconess Hospital - MultiCare Health Systems,2018,1,Washington,377020495,2254462,188407307,82975870,0,0,105637318
Olympic Medical Center,2018,1,Washington,99584485,1698937,57250488,17143857,0,0,25190140
RCCH Trios Health LLC,2018,1,Washington,124408654,1501835,49611858,22771277,0,0,52025519
Shriners Hospitals for Children - Spokane,2018,1,Washington,8268406,36640,0,4592368,0,0,3676038
Columbia Basin Hospital,2018,1,Washington,6015405,413709,2695775,1677153,0,0,1642477
PHM Medical Center,2018,1,Washington,27998592,300031,9483131,8808179,0,0,9707282
PROVIDENCE ST MARY MEDICAL CENTER,2018,1,Washington,157230511,470447,83215542,26599953,0,0,47415016
Forks Community Hospital,2018,1,Washington,12226753,510858,4484635,4407262,0,0,3334856
Public Hospital District 2 dba Willapa Harbor Hos,2018,1,Washington,8825053,90468,4550825,1921612,0,0,2352616
YAKIMA VALLEY MEMORIAL,2018,1,Washington,331584541,4146920,157283374,80211837,0,0,94089330
Grays Harbor Community Hospital,2018,1,Washington,95449691,888552,44687756,22609751,0,0,28152184
Samaritan Hospital,2018,1,Washington,59508053,669808,19168420,19126494,0,0,21213139
Pacific County Public Healthcare Services Distric,2018,1,Washington,0,0,0,0,0,0,0
Odessa Memorial Healthcare Center,2018,1,Washington,1512401,51560,504835,489961,0,0,517605
Good Samaritan Hospital,2018,1,Washington,488196510,697133,218676242,100965598,0,0,168554670
Garfield County Public Hospital District,2018,1,Washington,495071,130006,161207,232560,0,0,101304
Providence Regional Medical Center Everett,2018,1,Washington,608277348,5135431,288918258,114431336,0,0,204927754
Jefferson County Public Hospital District No 2,2018,1,Washington,57642271,1170902,34378253,9071804,0,0,14192214
Skyline Health,2018,1,Washington,6838941,48639,3285999,1431272,0,0,2121670
Astria Regional Medical Center,2018,1,Washington,0,0,0,0,0,0,0
EvergreenHealth Monroe,2018,1,Washington,30785372,1193797,9598177,7520583,0,0,13666612
CASCADE VALLEY HOSPITAL,2018,1,Washington,40144896,541241,15094460,10433543,0,0,14616893
NORTH VALLEY HOSPITAL OCPHD#4,2018,1,Washington,6841021,130760,3490127,1696801,0,0,1654093
Tri-State Memorial Hospital,2018,1,Washington,40437771,691201,24025308,4425444,0,0,11987019
EAST ADAMS RURAL HEALTHCARE,2018,1,Washington,0,0,0,0,0,0,0
Othello Community Hospital,2018,1,Washington,0,0,0,0,0,0,0
Highline Medical Center,2018,1,Washington,227616655,2076748,96776268,60279694,0,0,70560693
University of Washington Medical Center,2018,1,Washington,717964479,14604013,246678021,128748776,0,0,342537682
Quincy Valley Medical Center,2018,1,Washington,1938704,31,455582,575872,0,0,907250
UW Medical Center ? Northwest,2018,1,Washington,301203136,3965097,139361134,47434500,0,0,114407502
Overlake Hospital Medical Center,2018,1,Washington,397240692,4312165,176616537,25167749,0,0,195456406
St. Clare Hospital,2018,1,Washington,216101757,842218,96799021,58263378,0,0,61039358
Island Hospital,2018,1,Washington,58518999,223454,28105529,6032602,0,0,24380868
LINCOLN COUNTY HOSPITAL DISTRICT # 3,2018,1,Washington,7187342,244094,3269871,1935894,0,0,1981577
Swedish Edmonds,2018,1,Washington,221432861,1592814,102000966,40331319,0,0,79100576
HOLY FAMILY HOSPITAL,2018,1,Washington,156976214,1194169,75107914,40968977,0,0,40899323
Kittitas Valley Healthcare,2018,1,Washington,33128204,647681,12984903,6271871,0,0,13871430
Columbia County Public Hospital District No. 1,2018,1,Washington,6163311,105124,1543248,906094,0,0,3713969
St Michael Medical Center,2018,1,Washington,541542611,1162548,288311495,92549507,0,0,160681609
PeaceHealth St Joseph Medical Center,2018,1,Washington,386614556,1192902,203294335,76681858,0,0,106638363
Mid Valley Hospital,2018,1,Washington,15421725,50306,5358843,4946921,0,0,5115961
Kindred Hospital Seattle - Northgate,2018,1,Washington,30460705,16468,13264361,1077755,0,0,16118589
Douglas Lincoln and Okanogan Public Hospital Di,2018,1,Washington,14321436,68783,6225694,3918121,0,0,4177621
Public Hospital District No 1 of Mason County WA,2018,1,Washington,53681899,1835267,23718796,15951157,0,0,14011946
Whitman Hospital & Medical Clinics,2018,1,Washington,10315389,178570,5041783,1678403,0,0,3595203
Valley Medical Center,2018,1,Washington,523948920,12544738,204223763,108383323,0,0,211341834
Whidbey Island Public Hospital District,2018,1,Washington,66698152,212531,30320806,8766015,0,0,27611331
St. Luke's Rehabilitation Institute,2018,1,Washington,29642465,625208,14247728,6535753,0,0,8858984
Cascade Medical Center,2018,1,Washington,6040834,140809,3466468,807266,0,0,1767100
Providence St. Peter Hospital,2018,1,Washington,512931250,1276640,290226908,84504952,0,0,138199390
Kadlec Regional Medical Center,2018,1,Washington,480104829,2446250,199126235,103206009,0,0,177772585
Sacred Heart Medical Center,2018,1,Washington,635912442,10858000,284136720,164699408,0,0,187076314
EvergreenHealth Kirkland / King Country Public Ho,2018,1,Washington,463291213,8018112,195636959,42638926,0,0,225015328
Lake Chelan Health,2018,1,Washington,11926877,503152,4942320,2560350,0,0,4424207
Ferry County Memorial Hospital,2018,1,Washington,3465726,300461,1544239,1148523,0,0,772964
Confluence Health: Central Washington Hospital,2018,1,Washington,209761469,3487772,111861832,41842250,0,0,56057387
PeaceHealth Southwest Medical Center,2018,1,Washington,468677636,3013270,229998899,101983934,0,0,136694803
Public Hospital District #1-A of Whitman County,2018,1,Washington,29586966,863817,9874066,3721345,0,0,15991555
Arbor Health,2018,1,Washington,10247098,95555,5379713,2766577,0,0,2100808
Mary Bridge Children's Hospital,2018,1,Washington,220858351,2187175,142349,132147307,0,0,88568695
Tacoma General / Allenmore,2018,1,Washington,822371937,3051277,324786246,222339394,0,0,275246297
Valley Hospital and Medical Center,2018,1,Washington,183579325,241465,84447926,38201781,0,0,60929618
Auburn Medical Center,2018,1,Washington,210630491,1511535,89649209,60068509,0,0,60912773
Grays Harbor Count,2018,1,Washington,17541016,3232476,6601568,5960970,0,0,4978478
Providence Centralia Hospital,2018,1,Washington,183710651,424849,98185934,41465807,0,0,44058910
MOUNT CARMEL HOSPITAL,2018,1,Washington,27797868,55426,13188802,7464325,0,0,7144741
PROVIDENCE ST JOSEPH HOSPITAL,2018,1,Washington,11039266,24054,6012935,2804286,0,0,2222045
Snoqualmie Valley Hospital,2018,1,Washington,12118292,50593,7327885,1059298,0,0,3731109
Capital Medical Center,2018,1,Washington,153173997,77810,60166945,11039970,0,0,81967082
Astria Sunnyside Hospital,2018,1,Washington,0,0,0,0,0,0,0
ASTRIA TOPPENISH HOSPITAL,2018,1,Washington,0,0,0,0,0,0,0
St. Francis Hospital,2018,1,Washington,302054060,1014293,121676114,73739718,0,0,106638228
Regional Hospital for Respiratory & Complex Care,2018,1,Washington,12263528,0,9431489,179333,0,0,2652706
Fred Hutchinson Cancer Center,2018,1,Washington,275182566,8281385,93603891,29027868,0,0,152550807
Confluence Health: Wenatchee Valley Hospital,2018,1,Washington,165468334,20358563,71469922,30494995,0,0,63503417
PeaceHealth United General Medical Center,2018,1,Washington,32377650,4248,17692835,6782571,0,0,7902244
SKAGIT REGIONAL HEALTH,2018,1,Washington,293867608,5722205,148636214,60991707,0,0,84239687
Legacy Salmon Creek Medical Center,2018,1,Washington,261901477,-612575,115760463,53606744,0,0,92534270
St. Anthony Hospital,2018,1,Washington,188043336,2128427,91741714,29519645,0,0,66781977
Swedish Issaquah,2018,1,Washington,161147241,2069938,60946093,18717340,0,0,81483808
PeaceHealth Peace Island Medical Center,2018,1,Washington,6665897,1897,3404488,1169699,0,0,2091710
MultiCare Covington Medical Center,2018,1,Washington,0,0,0,0,0,0,0
CHI Franciscan Rehabilitation Hospital,2018,1,Washington,0,0,0,0,0,0,0
BHC Fairfax Hospital Inc,2018,1,Washington,37583815,2140775,7110400,15324400,0,0,15149015
Lourdes Counseling Center,2018,1,Washington,14381647,86360,1655096,9009571,0,0,3716980
Navos,2018,1,Washington,5347921,-13540,2084851,2674250,0,0,588820
Cascade Behavioral Hospital,2018,1,Washington,16405563,3218,7634238,5830225,0,0,2941100
BHC Fairfax Behavioral Health - Everett,2018,1,Washington,7419432,-55340,1520000,3416000,0,0,2483432
BHC Fairfax Behavioral Health - Monroe,2018,1,Washington,6062121,-79620,2968000,490000,0,0,2604121
Smokey Point Behavioral Hospital,2018,1,Washington,19588500,12520,5220800,7560850,0,0,6806850
Swedish Health Services DBA Swedish Medical Cent,2018,2,Washington,1091352434,17435710,417509879,163576495,0,0,510266060
Swedish Health Services DBA Swedish Medical Cente,2018,2,Washington,429348132,2052370,224393604,52386264,0,0,152568264
Klickitat County Public Hospital District #1,2018,2,Washington,11040960,0,5072024,3089569,0,0,2879367
Virginia Mason Medical Center,2018,2,Washington,591822917,13824881,283646337,43853226,0,0,264323354
Seattle Children's Hospital,2018,2,Washington,699103648,58510679,7109137,350072740,0,0,341921771
Newport Hospital & Health Services,2018,2,Washington,13194192,45838,5894210,3757007,0,0,3542975
Lourdes Medical Center,2018,2,Washington,80175292,1475583,33333866,14233166,0,0,32608260
Three Rivers Hospital,2018,2,Washington,6723604,8573,2566953,414966,0,0,3741685
PeaceHealth St John Medical Center,2018,2,Washington,203331953,1619352,100692246,55813731,0,0,46825976
Harborview Medical Center,2018,2,Washington,610150392,25843223,185713337,192607707,0,0,231829348
St.Joseph Medical Center,2018,2,Washington,699394879,5595018,317129255,154437222,0,0,227828402
St. Elizabeth Hospital,2018,2,Washington,54344882,534868,20639640,10476532,0,0,23228710
Deaconess Hospital - MultiCare Health Systems,2018,2,Washington,358818370,2107439,176386686,78296650,0,0,104135034
Olympic Medical Center,2018,2,Washington,101210858,2117302,58657733,16710571,0,0,25842554
RCCH Trios Health LLC,2018,2,Washington,114397400,1654274,46190873,21818645,0,0,46387882
Shriners Hospitals for Children - Spokane,2018,2,Washington,10253181,38170,0,4990289,0,0,5262892
Columbia Basin Hospital,2018,2,Washington,6255862,508576,2810913,1687323,0,0,1757626
PHM Medical Center,2018,2,Washington,29880169,468747,9811930,9490177,0,0,10578062
PROVIDENCE ST MARY MEDICAL CENTER,2018,2,Washington,150885511,602388,73486761,24935780,0,0,52462970
Forks Community Hospital,2018,2,Washington,11393486,582420,3816437,3908236,0,0,3668813
Public Hospital District 2 dba Willapa Harbor Hos,2018,2,Washington,9716917,176636,5285940,1544696,0,0,2886281
YAKIMA VALLEY MEMORIAL,2018,2,Washington,325783556,4703244,152701817,78971270,0,0,94110469
Grays Harbor Community Hospital,2018,2,Washington,94181811,825050,44883206,23271815,0,0,26026790
Samaritan Hospital,2018,2,Washington,58828472,703342,19376811,20491423,0,0,18960238
Pacific County Public Healthcare Services Distric,2018,2,Washington,0,0,0,0,0,0,0
Odessa Memorial Healthcare Center,2018,2,Washington,1460277,62866,470342,482457,0,0,507478
Good Samaritan Hospital,2018,2,Washington,480489305,57414,220842107,93127755,0,0,166519443
Garfield County Public Hospital District,2018,2,Washington,518023,295495,217236,250076,0,0,50711
Providence Regional Medical Center Everett,2018,2,Washington,588258861,4988436,278457264,98971006,0,0,210830591
Jefferson County Public Hospital District No 2,2018,2,Washington,56099246,1475841,33011222,8855570,0,0,14232454
Skyline Health,2018,2,Washington,6836716,20546,3342766,1597669,0,0,1896281
Astria Regional Medical Center,2018,2,Washington,0,0,0,0,0,0,0
EvergreenHealth Monroe,2018,2,Washington,34967068,1296905,12145467,8074820,0,0,14746781
CASCADE VALLEY HOSPITAL,2018,2,Washington,40971178,653667,14443484,12327739,0,0,14199955
NORTH VALLEY HOSPITAL OCPHD#4,2018,2,Washington,6529884,174737,2945402,1575096,0,0,2009386
Tri-State Memorial Hospital,2018,2,Washington,41476110,766247,24710661,4157264,0,0,12608185
EAST ADAMS RURAL HEALTHCARE,2018,2,Washington,0,0,0,0,0,0,0
Othello Community Hospital,2018,2,Washington,0,0,0,0,0,0,0
Highline Medical Center,2018,2,Washington,227692673,2078060,93758589,58301752,0,0,75632332
University of Washington Medical Center,2018,2,Washington,736033050,18695040,256112819,131842365,0,0,348077866
Quincy Valley Medical Center,2018,2,Washington,1902968,26,436952,460129,0,0,1005887
UW Medical Center ? Northwest,2018,2,Washington,302524071,3881876,140466723,46057485,0,0,115999863
Overlake Hospital Medical Center,2018,2,Washington,392451599,16594912,172993379,26709977,0,0,192748243
St. Clare Hospital,2018,2,Washington,217296736,586006,99560580,61086806,0,0,56649350
Island Hospital,2018,2,Washington,53829092,192476,27192014,5524264,0,0,21112814
LINCOLN COUNTY HOSPITAL DISTRICT # 3,2018,2,Washington,7336311,260103,3807617,1625632,0,0,1903062
Swedish Edmonds,2018,2,Washington,224688625,1565288,97625359,42466072,0,0,84597194
HOLY FAMILY HOSPITAL,2018,2,Washington,152014754,1563278,74478232,37005626,0,0,40530896
Kittitas Valley Healthcare,2018,2,Washington,34873296,662133,14862895,6437012,0,0,13573389
Columbia County Public Hospital District No. 1,2018,2,Washington,6042821,56716,1008567,926030,0,0,4108224
St Michael Medical Center,2018,2,Washington,541590557,2116256,279831748,91943502,0,0,169815307
PeaceHealth St Joseph Medical Center,2018,2,Washington,388499081,1338617,199757782,74218484,0,0,114522815
Mid Valley Hospital,2018,2,Washington,16197732,56401,6549182,4989647,0,0,4658903
Kindred Hospital Seattle - Northgate,2018,2,Washington,32844205,0,15675828,-1511934,0,0,18680311
Douglas Lincoln and Okanogan Public Hospital Di,2018,2,Washington,14151042,196316,5950753,4045854,0,0,4154435
Public Hospital District No 1 of Mason County WA,2018,2,Washington,56100327,2034244,25160242,16059115,0,0,14880970
Whitman Hospital & Medical Clinics,2018,2,Washington,10058225,164116,5844748,1234435,0,0,2979042
Valley Medical Center,2018,2,Washington,520655504,12625274,197157669,111344251,0,0,212153584
Whidbey Island Public Hospital District,2018,2,Washington,65781627,293945,30525054,8792317,0,0,26464256
St. Luke's Rehabilitation Institute,2018,2,Washington,30218218,596377,13761848,7713348,0,0,8743022
Cascade Medical Center,2018,2,Washington,6141859,233879,3474130,772362,0,0,1895367
Providence St. Peter Hospital,2018,2,Washington,511931938,2222133,280474365,86332054,0,0,145125519
Kadlec Regional Medical Center,2018,2,Washington,484183332,4001415,201653237,104923618,0,0,177606477
Sacred Heart Medical Center,2018,2,Washington,622590065,10062440,278392153,154519212,0,0,189678700
EvergreenHealth Kirkland / King Country Public Ho,2018,2,Washington,464529782,7591783,190889201,44365552,0,0,229275029
Lake Chelan Health,2018,2,Washington,12079931,524253,4547683,2302746,0,0,5229502
Ferry County Memorial Hospital,2018,2,Washington,3930189,176396,1805568,1068376,0,0,1056245
Confluence Health: Central Washington Hospital,2018,2,Washington,212718655,3531258,113210037,42371740,0,0,57136878
PeaceHealth Southwest Medical Center,2018,2,Washington,451700993,2479140,215078400,99273526,0,0,137349067
Public Hospital District #1-A of Whitman County,2018,2,Washington,28702005,150357,9597638,3888507,0,0,15215860
Arbor Health,2018,2,Washington,10556133,101267,5432742,2863147,0,0,2260244
Mary Bridge Children's Hospital,2018,2,Washington,208240929,1804132,220933,116913151,0,0,91106845
Tacoma General / Allenmore,2018,2,Washington,819764928,3420758,321435209,211780934,0,0,286548785
Valley Hospital and Medical Center,2018,2,Washington,176152599,185278,76293612,38345664,0,0,61513323
Auburn Medical Center,2018,2,Washington,200118776,659076,81557944,55562412,0,0,62998420
Grays Harbor Count,2018,2,Washington,18139138,3026484,7261505,5658486,0,0,5219147
Providence Centralia Hospital,2018,2,Washington,182273182,496998,92453889,41727217,0,0,48092076
MOUNT CARMEL HOSPITAL,2018,2,Washington,25229449,186695,12332522,6297830,0,0,6599097
PROVIDENCE ST JOSEPH HOSPITAL,2018,2,Washington,10320824,30112,5301748,2702895,0,0,2316181
Snoqualmie Valley Hospital,2018,2,Washington,11486890,94956,7267905,958000,0,0,3260985
Capital Medical Center,2018,2,Washington,142140716,73487,50429001,1852429,0,0,89859286
Astria Sunnyside Hospital,2018,2,Washington,0,0,0,0,0,0,0
ASTRIA TOPPENISH HOSPITAL,2018,2,Washington,0,0,0,0,0,0,0
St. Francis Hospital,2018,2,Washington,295786789,1235700,112404805,68473334,0,0,114908650
Regional Hospital for Respiratory & Complex Care,2018,2,Washington,9920946,0,8256803,504939,0,0,1159204
Fred Hutchinson Cancer Center,2018,2,Washington,285304360,12601187,97303456,28631721,0,0,159369183
Confluence Health: Wenatchee Valley Hospital,2018,2,Washington,162671426,19823745,73971094,28584874,0,0,60115458
PeaceHealth United General Medical Center,2018,2,Washington,30980813,11757,16395088,5994488,0,0,8591237
SKAGIT REGIONAL HEALTH,2018,2,Washington,303922516,5713530,155361628,62557595,0,0,86003293
Legacy Salmon Creek Medical Center,2018,2,Washington,263844231,451628,112231396,54582473,0,0,97030362
St. Anthony Hospital,2018,2,Washington,199760752,1779377,98443701,30389329,0,0,70927722
Swedish Issaquah,2018,2,Washington,162765375,1988262,57158863,18431050,0,0,87175462
PeaceHealth Peace Island Medical Center,2018,2,Washington,7520453,14344,4114618,1056631,0,0,2349204
MultiCare Covington Medical Center,2018,2,Washington,40587145,937,8831753,12573810,0,0,19181582
CHI Franciscan Rehabilitation Hospital,2018,2,Washington,0,0,0,0,0,0,0
BHC Fairfax Hospital Inc,2018,2,Washington,37472154,-132352,8510500,17360000,0,0,11601654
Lourdes Counseling Center,2018,2,Washington,21076521,-71424,1933143,15709611,0,0,3433767
Navos,2018,2,Washington,4962956,-22153,929259,3139971,0,0,893726
Cascade Behavioral Hospital,2018,2,Washington,17713547,3319,8994997,5884617,0,0,2833933
BHC Fairfax Behavioral Health - Everett,2018,2,Washington,7458221,0,1895600,3536400,0,0,2026221
BHC Fairfax Behavioral Health - Monroe,2018,2,Washington,6352402,0,4762800,820400,0,0,769202
Smokey Point Behavioral Hospital,2018,2,Washington,19549300,184458,3934850,7995000,0,0,7619450
Swedish Health Services DBA Swedish Medical Cent,2018,3,Washington,1072317052,16628813,397108283,173767621,0,0,501441148
Swedish Health Services DBA Swedish Medical Cente,2018,3,Washington,436860812,2121354,225791753,48381841,0,0,162687218
Klickitat County Public Hospital District #1,2018,3,Washington,10930350,0,5182664,2980683,0,0,2767003
Virginia Mason Medical Center,2018,3,Washington,601180026,16398762,282736511,43957659,0,0,274485856
Seattle Children's Hospital,2018,3,Washington,715070068,103715233,11392096,344710053,0,0,358967919
Newport Hospital & Health Services,2018,3,Washington,13304934,160187,5748589,3564309,0,0,3992036
Lourdes Medical Center,2018,3,Washington,77821524,1223429,32077269,13168255,0,0,32576000
Three Rivers Hospital,2018,3,Washington,6307261,12957,2161934,512738,0,0,3632589
PeaceHealth St John Medical Center,2018,3,Washington,203687474,1596323,99062423,54875256,0,0,49749795
Harborview Medical Center,2018,3,Washington,646196550,25804096,200996117,199253838,0,0,245946595
St.Joseph Medical Center,2018,3,Washington,720669600,4110140,325057694,152657283,0,0,242954623
St. Elizabeth Hospital,2018,3,Washington,50898014,110083,19567945,10155332,0,0,21174737
Deaconess Hospital - MultiCare Health Systems,2018,3,Washington,355382147,1985726,168773091,78590099,0,0,108018957
Olympic Medical Center,2018,3,Washington,101814247,2946107,60865125,16132049,0,0,24817073
RCCH Trios Health LLC,2018,3,Washington,114433361,1179553,42819162,20187125,0,0,51427074
Shriners Hospitals for Children - Spokane,2018,3,Washington,9625341,34028,3383,4797791,0,0,4824167
Columbia Basin Hospital,2018,3,Washington,6231979,298462,2615747,1751921,0,0,1864311
PHM Medical Center,2018,3,Washington,28997525,424514,8970796,9114738,0,0,10911991
PROVIDENCE ST MARY MEDICAL CENTER,2018,3,Washington,141135281,594137,76298219,21960494,0,0,42876568
Forks Community Hospital,2018,3,Washington,11253977,531317,4057363,3618951,0,0,3577663
Public Hospital District 2 dba Willapa Harbor Hos,2018,3,Washington,8194457,158683,4248590,1357905,0,0,2587962
YAKIMA VALLEY MEMORIAL,2018,3,Washington,314218230,4775705,145668048,76669369,0,0,91880813
Grays Harbor Community Hospital,2018,3,Washington,88788046,797880,40840347,23061842,0,0,24885857
Samaritan Hospital,2018,3,Washington,60372294,869474,18441641,19813518,0,0,22117135
Pacific County Public Healthcare Services Distric,2018,3,Washington,0,0,0,0,0,0,0
Odessa Memorial Healthcare Center,2018,3,Washington,1317023,39385,392904,560218,0,0,363901
Good Samaritan Hospital,2018,3,Washington,472432959,1125501,206056666,96997214,0,0,169379079
Garfield County Public Hospital District,2018,3,Washington,0,0,0,0,0,0,0
Providence Regional Medical Center Everett,2018,3,Washington,577998591,4546391,273083999,99818144,0,0,205096448
Jefferson County Public Hospital District No 2,2018,3,Washington,55897406,1674988,31454888,9381552,0,0,15060966
