Hospital_Name,Quarter,Year,State,Acute_Care_Medicare_Patient_Days,Acute_Care_Medicaid_Patient_Days,Acute_Care_Self_Pay_Patient_Days,Acute_Care_Commercial_Patient_Days,Acute_Care_Other_Patient_Days,Acute_Care_Total_Patient_Days,Swing_Bed_Medicare_Patient_Days,Swing_Bed_Medicaid_Patient_Days,Swing_Bed_Self_Pay_Patient_Days,Swing_Bed_Commercial_Patient_Days,Swing_Bed_Other_Patient_Days,Swing_Bed_Total_Patient_Days,SNF_Medicare_Patient_Days,SNF_Medicaid_Patient_Days,SNF_Self_Pay_Patient_Days,SNF_Commercial_Patient_Days,SNF_Other_Patient_Days,SNF_Total_Patient_Days,Psych_Rehab_CDU_Medicare_Patient_Days,Psych_Rehab_CDU_Medicaid_Patient_Days,Psych_Rehab_CDU_Self_Pay_Patient_Days,Psych_Rehab_CDU_Commercial_Patient_Days,Psych_Rehab_CDU_Other_Patient_Days,Psych_Rehab_CDU_Total_Patient_Days,Total_Medicare_Patient_Days,Total_Medicaid_Patient_Days,Total_Self_Pay_Patient_Days,Total_Commercial_Patient_Days,Total_Other_Patient_Days,Total_Patient_Days,Total_Newborn_Days
Adventist Health Columbia Gorge Medical Center,1,2007,Oregon,952.0,367.0,91.0,0.0,498.0,1908.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,952.0,367.0,91.0,0.0,498.0,1908.0,199.0
Adventist Health Columbia Gorge Medical Center,2,2007,Oregon,869.0,284.0,113.0,0.0,494.0,1760.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,869.0,284.0,113.0,0.0,494.0,1760.0,178.0
Adventist Health Columbia Gorge Medical Center,3,2007,Oregon,921.0,339.0,143.0,0.0,582.0,1985.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,921.0,339.0,143.0,0.0,582.0,1985.0,200.0
Adventist Health Columbia Gorge Medical Center,4,2007,Oregon,927.0,299.0,120.0,0.0,501.0,1847.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,927.0,299.0,120.0,0.0,501.0,1847.0,171.0
Adventist Health Portland Medical Center,1,2007,Oregon,4036.0,1177.0,304.0,0.0,5789.0,11306.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1145.0,740.0,24,0.0,0.0,1909.0,5181.0,1917.0,328.0,0.0,5789.0,13215.0,653.0
Adventist Health Portland Medical Center,2,2007,Oregon,3094.0,1052.0,274.0,0.0,6070.0,10490.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1127.0,734.0,74,0.0,0.0,1935.0,4221.0,1786.0,348.0,0.0,6070.0,12425.0,721.0
Adventist Health Portland Medical Center,3,2007,Oregon,3507.0,989.0,386.0,0.0,6318.0,11200.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1004.0,735.0,13,0.0,0.0,1752.0,4511.0,1724.0,399.0,0.0,6318.0,12952.0,735.0
Adventist Health Portland Medical Center,4,2007,Oregon,3591.0,943.0,347.0,0.0,5669.0,10550.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1271.0,770.0,47,0.0,0.0,2088.0,4862.0,1713.0,394.0,0.0,5669.0,12638.0,688.0
Adventist Health Tillamook Medical Center,1,2007,Oregon,595.0,87.0,33.0,0.0,179.0,894.0,141,0,0,0.0,0,141,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,736.0,87.0,33.0,0.0,179.0,1035.0,100.0
Adventist Health Tillamook Medical Center,2,2007,Oregon,649.0,60.0,8.0,0.0,207.0,924.0,41,0,0,0.0,0,41,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,690.0,60.0,8.0,0.0,207.0,965.0,82.0
Adventist Health Tillamook Medical Center,3,2007,Oregon,642.0,67.0,36.0,0.0,137.0,882.0,95,0,0,0.0,0,95,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,737.0,67.0,36.0,0.0,137.0,977.0,78.0
