State,Hospital_Name,Year,Quarter,Acute_Care_Medicare_Discharges,Acute_Care_Medicaid_Discharges,Acute_Care_Self_Pay_Discharges,Acute_Care_Commercial_Discharges,Acute_Care_Other_Discharges,Acute_Care_Total_Discharges,Swing_Bed_Medicare_Discharges,Swing_Bed_Medicaid_Discharges,Swing_Bed_Self_Pay_Discharges,Swing_Bed_Commercial_Discharges,Swing_Bed_Other_Discharges,Swing_Bed_Total_Discharges,SNF_Subacute_LTC_Medicare_Discharges,SNF_Subacute_LTC_Medicaid_Discharges,SNF_Subacute_LTC_Self_Pay_Discharges,SNF_Subacute_LTC_Commercial_Discharges,SNF_Subacute_LTC_Other_Discharges,SNF_Subacute_LTC_Total_Discharges,Psych_Rehab_CDU_Medicare_Discharges,Psych_Rehab_CDU_Medicaid_Discharges,Psych_Rehab_CDU_Self_Pay_Discharges,Psych_Rehab_CDU_Commercial_Discharges,Psych_Rehab_CDU_Other_Discharges,Psych_Rehab_CDU_Total_Discharges,Total_Medicare_Discharges,Total_Medicaid_Discharges,Total_Self_Pay_Discharges,Total_Commercial_Discharges,Total_Other_Discharges,Total_Discharges,Total_Inpatient_Surgeries,Total_Births,Number_of_Admissions_from_ER,Emergency_Room_Visits,Outpatient_Surgery_Visits,Observation_Visits,Home_Health_Visits,Total_Outpatient_Visits
WA,Shriners Hospitals for Children - Spokane,2019,1,0.0,25,0,0.0,18,43.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,25,0,0.0,18,43.0,0.0,0,0.0,0.0,160.0,0,0.0,3775.0
WA,South Sound Behavioral Hospital,2019,4,35.0,107,0,0.0,53,195.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,35.0,107,0,0.0,53,195.0,0.0,0,0.0,0.0,0.0,0,0.0,146.0
WA,Shriners Hospitals for Children - Spokane,2021,4,0.0,17,0,0.0,22,39.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,17,0,0.0,22,39.0,0.0,0,0.0,0.0,412.0,0,0.0,8471.0
WA,Public Hospital District No 1 of Mason County WA,2018,1,208.0,94,0,0.0,58,360.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,208.0,94,0,0.0,58,360.0,59.0,49,267.0,4985.0,231.0,199,0.0,45083.0
WA,Whitman Hospital & Medical Clinics,2018,1,0.0,0,0,0.0,113,113.0,23,0,0,0.0,0,23,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,23.0,0,0,0.0,113,136.0,43.0,12,101.0,740.0,238.0,63,0.0,6424.0
WA,Valley Medical Center,2018,1,1956.0,1265,0,0.0,1455,4676.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,1956.0,1265,0,0.0,1455,4676.0,1009.0,771,0.0,21781.0,2197.0,0,0.0,193787.0
WA,Cascade Medical Center,2018,1,16.0,3,0,0.0,0,19.0,19,0,0,0.0,1,20,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,35.0,3,0,0.0,1,39.0,0.0,0,18.0,760.0,0.0,6,0.0,22407.0
WA,Shriners Hospitals for Children - Spokane,2018,2,0.0,19,0,0.0,23,42.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,19,0,0.0,23,42.0,0.0,0,0.0,0.0,231.0,0,0.0,3820.0
WA,Whidbey Island Public Hospital District,2018,1,277.0,6,0,0.0,210,493.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,277.0,6,0,0.0,210,493.0,88.0,52,287.0,195.0,229.0,0,1838.0,72993.0
WA,Swedish Health Services DBA Swedish Medical Cent,2018,1,3402.0,1788,0,0.0,4256,9446.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,3402.0,1788,0,0.0,4256,9446.0,3934.0,2030,2695.0,14109.0,3127.0,1606,0.0,143222.0
