max_depth,learning_rate,n_estimators,cv_error
3,0.001,10,621.3549535374335
3,0.001,25,621.8654143840521
3,0.001,50,623.0653488852727
3,0.001,100,626.359581500305
3,0.001,200,635.8155233755166
3,0.001,300,642.1678734635756
3,0.001,500,652.6636975693293
5,0.001,10,621.2496530349033
5,0.001,25,621.6533856495073
5,0.001,50,622.9447407964542
5,0.001,100,626.7131274473462
5,0.001,200,636.8797499252075
5,0.001,300,649.6356390888765
5,0.001,500,681.5319165329352
7,0.001,10,621.122683210102
7,0.001,25,621.4853712880283
7,0.001,50,622.5047697697034
7,0.001,100,625.0363736902871
7,0.001,200,633.9045932596334
7,0.001,300,647.0592635441562
7,0.001,500,677.2020503881954
3,0.01,10,626.7015251498714
3,0.01,25,641.2413672877053
3,0.01,50,654.8213918400056
3,0.01,100,671.5114761460518
3,0.01,200,680.8993046601089
3,0.01,300,684.1252570733625
3,0.01,500,686.198549154303
5,0.01,10,627.2056913424616
5,0.01,25,644.1723231940659
5,0.01,50,679.5264007237448
5,0.01,100,718.8617691087591
5,0.01,200,741.4255228774239
5,0.01,300,747.9136577858053
5,0.01,500,759.076363483088
7,0.01,10,625.4115492474926
7,0.01,25,641.9104460616229
7,0.01,50,679.5292496359796
7,0.01,100,743.9840082493931
7,0.01,200,770.7928859236508
7,0.01,300,771.8350434502026
7,0.01,500,774.4307503545353
3,0.05,10,658.2046405279056
3,0.05,25,679.1703796106933
3,0.05,50,676.8223642844493
3,0.05,100,669.9298489637176
3,0.05,200,684.8648866826757
3,0.05,300,692.4133959108526
3,0.05,500,715.8900001430205
5,0.05,10,692.3047972808045
5,0.05,25,773.7955047372966
5,0.05,50,778.9194124077059
5,0.05,100,801.3027398597158
5,0.05,200,829.6338802481189
5,0.05,300,839.5387331362532
5,0.05,500,854.6583034501158
7,0.05,10,690.5918564785743
7,0.05,25,760.3986659539125
7,0.05,50,778.377995487799
7,0.05,100,792.1857760938377
7,0.05,200,805.9707919163811
7,0.05,300,816.5034612376814
7,0.05,500,825.3859576637603
3,0.1,10,666.0997222743506
3,0.1,25,664.8875093065208
3,0.1,50,689.8319831370908
3,0.1,100,693.8000778663554
3,0.1,200,715.7520845066908
3,0.1,300,728.957462358565
3,0.1,500,746.2316285244273
5,0.1,10,735.2773347334204
5,0.1,25,767.7550493365785
5,0.1,50,794.708481052488
5,0.1,100,806.0163956450127
5,0.1,200,820.4270825048349
5,0.1,300,844.7700186332037
5,0.1,500,854.7923267494576
7,0.1,10,778.6123492019354
7,0.1,25,817.0735463686957
7,0.1,50,838.2123096660214
7,0.1,100,850.1309062891323
7,0.1,200,858.9125178379211
7,0.1,300,862.8652009568356
7,0.1,500,863.7841538392589
3,0.2,10,729.8781206135416
3,0.2,25,710.1266202984173
3,0.2,50,726.8549111311443
3,0.2,100,752.6473677831895
3,0.2,200,773.6697702194007
3,0.2,300,795.6718294484239
3,0.2,500,820.2649289325387
5,0.2,10,844.4153434658535
5,0.2,25,837.5662184560879
5,0.2,50,862.7256947917846
5,0.2,100,896.6396195314971
5,0.2,200,927.4172487242497
5,0.2,300,935.4823002480773
5,0.2,500,941.4146768188806
7,0.2,10,881.6436283985686
7,0.2,25,912.4329890774798
7,0.2,50,956.2626289821197
7,0.2,100,983.1998142457278
7,0.2,200,994.5182654792272
7,0.2,300,999.1707152970599
7,0.2,500,999.366981321599
